Name of Indoor Plant,Soil Moisture,Watering Date Range,Temperature,Humidity,Light Exposure,Pot Size (Suggestion),Water Amount,Soil Type,Fertilizer Type,needs_watering
Areca Palm,"Keep evenly moist, not soggy",Every 7-14 days,18-27°C (65-80°F),"High (50%+), mist often","Bright, indirect light",Slightly larger than root ball,Water thoroughly until it drains,Peat-based potting mix,"Balanced liquid, monthly (spring-summer)",0
Snake Plant,Let soil dry completely between waterings,Every 2-4 weeks,18-32°C (65-90°F),Low tolerance,Low to bright indirect light,Sturdy pot to prevent tipping,"Water sparingly, avoid overwatering",Cactus/succulent mix,"All-purpose, once a month (spring-summer)",1
Peace Lily,Keep soil consistently moist,Every 7 days or when leaves droop,18-29°C (65-85°F),"High, misting beneficial",Low to medium indirect light,1-2 inches larger than root ball,Water thoroughly until it drains,Standard potting mix,"Balanced liquid, monthly (spring-summer)",1
Money Plant (Pothos),Allow top inch or two to dry,Every 7-14 days,16-29°C (60-85°F),Medium to high,Low to medium indirect light,Can be slightly root-bound,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",0
Aloe Vera,Allow soil to dry completely,Every 2-3 weeks,13-27°C (55-80°F),Low,"Bright, indirect light",Clay pot with drainage,"Water deeply, but infrequently",Cactus/succulent mix,"Succulent food, once (spring)",0
Spider Plant,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),Medium,"Bright, indirect light",Standard pot with drainage,Water thoroughly,Standard potting mix,"Balanced liquid, monthly (spring-summer)",0
Rubber Plant,Allow top few inches of soil to dry,Every 1-2 weeks,18-29°C (65-85°F),Medium to high,"Bright, indirect light",1-2 inches larger than root ball,Water thoroughly,Well-draining potting mix,"All-purpose liquid, monthly (spring-summer)",0
Dumb Cane (Dieffenbachia),Keep soil consistently moist,Every 7-10 days,18-27°C (65-80°F),High,"Bright, indirect light",Standard pot,Water thoroughly,"Rich, well-draining soil","Balanced liquid, monthly (spring-summer)",1
Lucky Bamboo,Keep roots submerged in water,N/A (change water weekly),18-35°C (65-95°F),Medium to high,Low to medium indirect light,Vase or pot with no soil,N/A (just water),N/A (hydroponic),N/A (or use specific liquid fertilizer),1
Philodendron,Keep soil evenly moist,Every 7-14 days,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot with drainage,Water thoroughly,Standard potting mix,"All-purpose, monthly (spring-summer)",1
Anthurium,Keep soil slightly damp,Every 7-10 days,21-32°C (70-90°F),"High, misting beneficial","Bright, indirect light",Standard pot,Water thoroughly,"Coarse, well-draining mix","Balanced liquid, monthly (spring-summer)",0
Croton,Keep soil consistently moist,Every 7-10 days,18-27°C (65-80°F),High,"Bright, direct light is best for color",Standard pot,Water thoroughly,Well-draining potting mix,"Slow-release, spring/summer",1
Boston Fern,Keep soil evenly moist,Every 2-3 days,18-24°C (65-75°F),"High, mist daily","Bright, indirect light",Hanging basket or large pot,Water thoroughly,Peat-based mix,"Balanced liquid, monthly (spring-fall)",1
ZZ Plant,Allow soil to dry out completely,Every 2-4 weeks,18-32°C (65-90°F),Low,Low to medium indirect light,Standard pot with drainage,Water sparingly,Cactus/succulent mix,"All-purpose liquid, once or twice (summer)",0
Bird’s Nest Fern,Keep soil consistently moist,Every 7 days,18-27°C (65-80°F),"High, mist often",Low to medium indirect light,"Shallow, wide pot","Water thoroughly, avoid the rosette",Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Calathea,Keep soil evenly moist,Every 7-10 days,18-24°C (65-75°F),"High (60%+), group plants","Medium, indirect light",Standard pot,Water with distilled or rain water,Peat-based mix,"Balanced liquid, monthly (spring-summer)",0
Aglaonema,Keep soil moist but not soggy,Every 1-2 weeks,18-24°C (65-75°F),Medium to high,Low to medium indirect light,Standard pot,Water thoroughly,Well-draining potting mix,"Balanced liquid, monthly (spring-summer)",0
Kalanchoe,Allow soil to dry completely,Every 2-3 weeks,18-24°C (65-75°F),Low,"Bright, indirect to direct light",Standard pot,"Water thoroughly, but sparingly",Cactus/succulent mix,"Balanced liquid, monthly (spring-summer)",0
